"","points","price","variety","latitude","longitude","cluster","country"
"1",95,80,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"2",95,290,"Malbec",46.227638,2.213749,2,"France"
"3",94,57,"Chardonnay",-36.7772623,174.5588019,3,"New Zealand"
"4",90,135,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"5",90,29,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"6",90,23,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"7",90,69,"Syrah",44.0574025,4.828508,2,"France"
"8",90,90,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"9",90,50,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"10",90,100,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"11",90,68,"Chardonnay",47.0525047,4.3837215,4,"France"
"12",90,42,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"13",90,28,"Pinot Noir",47.5532402,1.0105289,5,"France"
"14",91,30,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"15",91,36,"Pinot Noir",-37.4713077,144.7851531,3,"Australia"
"16",91,25,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"17",91,45,"Chardonnay",47.0525047,4.3837215,4,"France"
"18",91,38,"Chardonnay",47.0525047,4.3837215,4,"France"
"19",91,85,"Chardonnay",48.9168895,4.1514325,4,"France"
"20",91,45,"Chardonnay",47.0525047,4.3837215,4,"France"
"21",86,45,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"22",86,15,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"23",90,22,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"24",90,17,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"25",89,44,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"26",89,40,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"27",87,15,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"28",93,39,"Riesling",48.3181795,7.4416241,2,"France"
"29",93,65,"Riesling",48.3181795,7.4416241,2,"France"
"30",93,42,"Riesling",48.3181795,7.4416241,2,"France"
"31",93,61,"Riesling",48.3181795,7.4416241,2,"France"
"32",93,48,"Riesling",48.3181795,7.4416241,2,"France"
"33",92,35,"Riesling",48.3181795,7.4416241,2,"France"
"34",92,48,"Riesling",48.3181795,7.4416241,2,"France"
"35",92,55,"Riesling",48.3181795,7.4416241,2,"France"
"36",88,30,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"37",88,23,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"38",88,15,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"39",92,92,"Pinot Noir",47.0525047,4.3837215,5,"France"
"40",92,94,"Chardonnay",47.0525047,4.3837215,4,"France"
"41",91,60,"Chardonnay",47.0525047,4.3837215,4,"France"
"42",91,40,"Chardonnay",47.0525047,4.3837215,4,"France"
"43",91,100,"Pinot Noir",47.0525047,4.3837215,5,"France"
"44",94,50,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"45",94,70,"Malbec",46.227638,2.213749,2,"France"
"46",91,54,"Chardonnay",48.9168895,4.1514325,4,"France"
"47",91,32,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"48",90,33,"Pinot Noir",48.3181795,7.4416241,5,"France"
"49",90,70,"Pinot Noir",47.0525047,4.3837215,5,"France"
"50",90,80,"Pinot Noir",47.0525047,4.3837215,5,"France"
"51",90,35,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"52",90,28,"Tempranillo",40.463667,-3.74922,1,"Spain"
"53",90,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"54",90,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"55",90,75,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"56",90,95,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"57",90,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"58",90,70,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"59",90,90,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"60",90,30,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"61",90,35,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"62",87,27,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"63",87,75,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"64",87,98,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"65",87,15,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"66",87,52,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"67",87,58,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"68",87,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"69",86,10,"Sauvignon Blanc",-38.416097,-63.616672,3,"Argentina"
"70",86,23,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"71",86,15,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"72",89,43,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"73",89,55,"Cabernet Sauvignon",43.7710513,11.2486208,2,"Italy"
"74",89,45,"Syrah",41.2698592,-7.6965918,2,"Portugal"
"75",89,45,"Cabernet Sauvignon",43.7710513,11.2486208,2,"Italy"
"76",89,12,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"77",92,29,"Riesling",48.3181795,7.4416241,2,"France"
"78",92,63,"Riesling",48.3181795,7.4416241,2,"France"
"79",90,50,"Pinot Noir",47.0525047,4.3837215,5,"France"
"80",90,45,"Pinot Noir",47.0525047,4.3837215,5,"France"
"81",90,59,"Chardonnay",47.0525047,4.3837215,4,"France"
"82",90,20,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"83",93,64,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"84",91,60,"Chardonnay",47.0525047,4.3837215,4,"France"
"85",90,20,"Pinot Noir",-30.0002315,136.2091547,3,"Australia"
"86",90,25,"Malbec",46.227638,2.213749,2,"France"
"87",90,45,"Chardonnay",47.0525047,4.3837215,4,"France"
"88",88,42,"Pinot Noir",-37.4713077,144.7851531,3,"Australia"
"89",88,27,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"90",88,25,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"91",88,35,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"92",88,25,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"93",88,28,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"94",88,20,"Pinot Noir",47.5532402,1.0105289,5,"France"
"95",88,11,"Tempranillo",40.463667,-3.74922,1,"Spain"
"96",90,62,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"97",90,80,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"98",90,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"99",85,14,"Malbec",46.227638,2.213749,1,"France"
"100",85,14,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"101",89,20,"Cabernet Sauvignon",-33.444962,-70.648283,6,"Chile"
"102",89,20,"Pinot Noir",-33.3190376,-71.4076318,5,"Chile"
"103",89,20,"Syrah",-34.1718313,-70.6216794,6,"Chile"
"104",89,25,"Cabernet Sauvignon",-34.6761419,-71.097317,6,"Chile"
"105",89,17,"Sauvignon Blanc",-33.6131574,-71.4501843,3,"Chile"
"106",87,50,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"107",87,87,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"108",90,45,"Chardonnay",47.0525047,4.3837215,4,"France"
"109",90,80,"Pinot Noir",47.0525047,4.3837215,5,"France"
"110",90,19,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"111",90,56,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"112",90,22,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"113",90,30,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"114",90,22,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"115",92,30,"Riesling",48.3181795,7.4416241,2,"France"
"116",92,24,"Riesling",48.3181795,7.4416241,2,"France"
"117",93,40,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"118",93,50,"Malbec",46.227638,2.213749,2,"France"
"119",93,61,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"120",89,22,"Sauvignon Blanc",-33.6131574,-71.4501843,3,"Chile"
"121",89,20,"Cabernet Sauvignon",-34.6761419,-71.097317,6,"Chile"
"122",89,65,"Cabernet Sauvignon",43.7710513,11.2486208,2,"Italy"
"123",90,24,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
